sb1,sb2,sb3,sb4,sb5,sb6,sb7,sb8,sb9,sb10,sb11,sb12,sb13,sb14,sb15,sb16,sb17,sb18,sb19,sb20,sb21,sb22,sb23,sb24,sb25,sb26,sb27,sb28,sb29,sb30,sb31,sb32,sb33,sb34,sb35,sb36,sb37,sb38,sb39,sb40,sb41,sb42,sb43,sb44,sb45,sb46,sb47,sb48,sb49,sb50,sb51,sb52,sb53,sb54,sb55,sb56,sb57,sb58,sb59,sb60
0.78687349638181348,0.60345913636136095,0.7494037799816069,0.17522569947682942,0.99999999999999978,0.79674781610843148,0.097083143096387547,0.66420760279999591,0.73663955129642344,0.063916875046875044,0.12854615105283992,0.6735307688696438,0.50643864102656666,0.026241615659220754,0.78624665863689547,0.99999999999999978,0.065165783684939693,0.02502292275207384,0.006256207749713397,0.00089824302410674889,0.00060002570895153009,0.020429957518672739,0.02071991309715707,0.7161154101672631,0.72939383453190243,0.71964023504239139,0.66902136693402714,0.94965864933526967,0.45649265497551056,0.89023765350650541,0.32644852257066392,0.31473215975361929,0.37702372377738808,0.47694102604891514,0.00085635519533782463,0.12910742302959383,0.16561165127550392,0.8360506931457331,0.99999999999999933,0.69303168706896978,0.77898395389747765,0.99999999999999989,0.21717289958999111,0.71962028670655365,0.077737660185022511,0.31496483115985124,0.32007580107853678,0.2153548943023231,0.055098396452532339,0.99974347599603375,0.22010448397801857,0.28488149137820212,0.31044993965512674,0.001007370249588844,0.63100199203272733,0.11558206066650477,0.36691921865802024,0.041435687791827158,0.090445149747369044,0.15901399239824973
0.78868994323956543,0.60497801949098817,0.75089120624539485,0.17639928109833913,1.0000000000000002,0.80288925729350846,0.099735588061700603,0.66636146294590093,0.73887877613289255,0.065126193220281667,0.13132367998852673,0.67477456562094473,0.50809172155572813,0.026736515563444627,0.79007116006060119,1.0000000000000002,0.065886527328380892,0.025384106868081315,0.0064066992567099719,0.00090586209681607296,0.00060501241016939881,0.020695259587503134,0.02131694857733046,0.71724314542109879,0.73077587393337506,0.72204380910971633,0.67033753178042077,0.95418745826325102,0.45804431463266254,0.89348468715308338,0.32803402668826148,0.31730802341194408,0.37864531128976259,0.48103081372666778,0.00089703140296582321,0.13133534442870803,0.1668150683955277,0.83820677678969979,1.0000000000000004,0.69428819981271495,0.78092485173903314,0.99999999999999911,0.21859662385697876,0.72156197846694203,0.081999942583782515,0.31674840189469539,0.32177595645271695,0.21771134455821234,0.056105162231420459,1.0000000000000002,0.22173795493873,0.29560993070540786,0.31324175884955591,0.0010265214419771386,0.64905728838809362,0.11702107200036956,0.3730705061454157,0.04209612285691406,0.091146898071795351,0.16058690314187815
0.79048396072981786,0.60650356327934896,0.75238544738166502,0.17759240110566057,1.0000000000000007,0.80894860312683126,0.10255035588450752,0.66852468994023551,0.74113289077043454,0.066341812083855256,0.13405879186732567,0.67600745015720243,0.50975477652564394,0.027238653995515907,0.79384798097468368,1.0000000000000002,0.066633905353649867,0.025751891756822715,0.0065425166541221253,0.0009178749995161497,0.00061354252280680025,0.020975923913898662,0.021918807078038598,0.7183603771777255,0.73217126425575585,0.72442405690634126,0.67166225588973694,0.95858739030620299,0.45960899070518024,0.89669350757591337,0.32962921419872709,0.31988028016089881,0.3802818639218884,0.48510824011857812,0.00094465183179747694,0.13361633484425384,0.16804548256568641,0.84033411239051115,0.99999999999999967,0.69554315953054668,0.78287370428797642,0.99999999999999944,0.22003598667011107,0.72351418969626458,0.086437088695403869,0.31856126427374043,0.3235035813434094,0.22011054571597016,0.057148090238223599,1.0,0.22340367691296667,0.30684579338393608,0.31607412702282761,0.0010478065201931816,0.66682692630259333,0.1184720096904954,0.37923103145519688,0.042765706918396873,0.091871987496427221,0.16217056599843971
0.7922625794127528,0.60802801077709601,0.75389523280930848,0.17880941703345662,0.99999999999999978,0.81491894750757687,0.10527130089529604,0.67069664016336994,0.74338310072127756,0.067567058636582591,0.13689267409371306,0.67725286682432884,0.51143730126113895,0.027746177517996275,0.79757660488441851,0.99999999999999967,0.067410023136288452,0.026126150874093305,0.0066986675823137599,0.0009344922169906753,0.00062584620676800961,0.021272257944112614,0.022525757232047756,0.71948787315388096,0.73357528590213772,0.72678578389947257,0.67299159516912799,0.96245804093783394,0.46118392903452732,0.89999035479961964,0.33123139153110592,0.3224482909310194,0.38193334746330065,0.48916338487783706,0.0010020717531885948,0.13595513454855399,0.16930365895105176,0.84244258753589285,1.0000000000000002,0.69679484336556841,0.78481804192866367,0.99999999999999978,0.22148879389563844,0.72547294008382468,0.09105066052206881,0.32039975083144367,0.32525792066997145,0.2225554557037438,0.058227835051509948,1.0,0.22511317370973685,0.31861045731959098,0.31894366545870934,0.0010710421468197522,0.68429099199458221,0.1199337479934116,0.38539633115751049,0.043443165730293477,0.092618878056410989,0.163761848553337
0.79402673490480358,0.60954538707461126,0.75539895138748936,0.18005030347225398,1.0000000000000009,0.8207935298181005,0.10815936576838865,0.67288417783723664,0.74563062389653179,0.06879677135662314,0.13966276302196584,0.67851069367938266,0.51313445353501108,0.028260960155417188,0.80124641406001285,1.0000000000000002,0.068212028356301524,0.026506653339187083,0.0068531039006681713,0.00097222331294283823,0.00064213538592106263,0.021582334184188066,0.023136269396955719,0.72061256615165081,0.73497931076480405,0.72912118810967541,0.67433599885313189,0.96660049927567504,0.46277009395545837,0.90363303692371355,0.33285336702830248,0.32501853906459049,0.38359278533980201,0.4931937130863025,0.0010038608044261824,0.13834597147946795,0.17058836482867393,0.8445147401978973,0.99999999999999922,0.69804827406401548,0.78677139072146784,1.0000000000000009,0.22295503148475035,0.72743940267354457,0.095844050913467288,0.32226674401207162,0.32704916778905696,0.22504372140425605,0.059349149586489694,1.0000000000000002,0.22684382209609999,0.3309365594254316,0.32185176121962139,0.001096531963907564,0.70142659528794427,0.12140244473812238,0.39155834778263826,0.044128621928297036,0.093388145061708339,0.16536086707480083
0.79576003475519019,0.61106231804088562,0.75691281674071109,0.18132435325096311,1.0000000000000007,0.82656839350625422,0.11095385078189238,0.67506856935783366,0.74788959708647107,0.070030938566931586,0.14244484423920242,0.67977442338433991,0.51483825234507685,0.028781248482533744,0.80485655350737895,0.99999999999999989,0.069044470096964905,0.026909917747844004,0.0070209308081229573,0.0010000415192905983,0.00057462598471544248,0.02190412349736949,0.023749903105644895,0.72173875381959585,0.73639573128604818,0.73142692004067944,0.67567932502522021,0.97019608728702866,0.46437411646470877,0.90760396422825573,0.33447222971111162,0.32756832216279519,0.38528293346399267,0.49719659253199372,0.0010758241703415533,0.14078983481784671,0.1719017217034495,0.84654996160558382,1.0,0.69929327794147655,0.7887192671837705,0.99999999999999967,0.22443359219782008,0.72941029392669321,0.10081375630269326,0.32416960894261465,0.32885298731621082,0.22757002609914292,0.060506393546871574,0.99999999999999989,0.22860394186872546,0.34383529080432579,0.3247941595687272,0.0011421878688283582,0.71821427761263212,0.12287787126034765,0.39771024739421262,0.044820876102987336,0.094180309144748495,0.16696518938646229
0.79748063283367576,0.61257462800112805,0.75843034753054939,0.18260783848881856,1.0000000000000002,0.83223310325025068,0.11390632608237834,0.67726415150289154,0.75014833887741006,0.071283751384715544,0.1453525312848454,0.68103338060244856,0.51655855875484824,0.029321953403273902,0.80840285943665036,0.99999999999999978,0.069918388143194357,0.027302741704806854,0.0071615383848000844,0.0010387451424644244,0.00061529978839199885,0.022258930735198742,0.02438587897011351,0.7228623961831151,0.73781927638296041,0.73370789470960285,0.67704154608612088,0.97407741354151067,0.46597867296137646,0.91190671605758655,0.33609302092461063,0.33010191285637297,0.38697244336482384,0.50116752888474125,0.0011607776087653357,0.14328632351051054,0.17324010342784485,0.84854994589518096,1.0000000000000002,0.70053868610057179,0.79066219326097742,0.99999999999999933,0.22593526894802066,0.73138841828551393,0.10597775847008573,0.32608624902992556,0.33068090103289821,0.23015185276631073,0.061721048924964737,1.0,0.23039514493297156,0.35735467442016416,0.32776806481335446,0.0011752781939266767,0.73463651365928817,0.12437228280456766,0.40384497541526054,0.045519710877064197,0.094996284783239224,0.16857344271715244
0.79916661162538827,0.6140795246459152,0.75995080369957169,0.183913910245353,0.99999999999999978,0.83778260238129365,0.11673624261281432,0.67946877484255475,0.75239649387479002,0.072524607048079212,0.1481523280585578,0.68230610007167858,0.51829621398830295,0.029851338720531178,0.81188134079645802,0.99999999999999978,0.070807890813053165,0.027701516265851083,0.0073036186067368496,0.0010808157709556623,0.00064438737944529979,0.022613802997084043,0.025013275635873865,0.7239770212951071,0.73924634511928144,0.73595038532864676,0.67839705608458245,0.97784005250619033,0.46758598732863571,0.91583400665969772,0.33772126868363816,0.33261937231020322,0.38866924891791238,0.50510676123263309,0.0012741011983462215,0.14584734783647738,0.17461924014456254,0.85051748053199105,0.99999999999999989,0.70178046722246845,0.79260157280425636,1.0000000000000007,0.2274343954021345,0.73337136203836295,0.11130292842859794,0.32802557828161549,0.33253205983488454,0.23276249037971705,0.062961056529383663,1.0000000000000002,0.23221575292458249,0.37154929993456132,0.33078329755175501,0.0012158153565927396,0.7506626319215447,0.12585570833223764,0.40996510835803246,0.046239986608963619,0.095848475391269464,0.17019745726601693
0.80082386925610483,0.61557988846856837,0.76146269340154071,0.18523741117795534,1.0000000000000011,0.84321382770539732,0.11958425902534947,0.68166884751538004,0.75464140126531409,0.073762163829455357,0.15095403199343282,0.68357883820230714,0.52002974683892944,0.03038288981405101,0.81529534066925846,0.99999999999999978,0.071723117613383236,0.028123923076296308,0.007504701383421567,0.0010482411447477144,0.00067897811674777952,0.022985091852963536,0.025648051538444811,0.72509219885207032,0.74066747786804998,0.73815452791074565,0.6797625450944027,0.98103304834176275,0.46920189210437829,0.92027444202096842,0.339362866987168,0.33512877025381949,0.39038866314265419,0.50899252405793183,0.0013157943526956109,0.1484404124447383,0.17600884779682185,0.8524408710640532,1.0000000000000007,0.70301103420274313,0.79453637189935911,1.0000000000000002,0.22894209302941004,0.7353436383852614,0.11680286146690494,0.32999898158299751,0.33441619859974414,0.23540908895374457,0.064235435146864986,1.0000000000000002,0.23407702970401012,0.38649583974457491,0.33381491256670487,0.0012544382857408464,0.76627780983702898,0.12733950803159269,0.4160431064993364,0.046948544666401526,0.096707377220368207,0.1718063988362914
0.80244832141453049,0.61707170005097156,0.7629828758649071,0.18659662181777428,1.0000000000000004,0.84851972732765568,0.1226272048682841,0.68387050484219358,0.75687961874506016,0.075014175448977427,0.15389795283679575,0.6848613927237801,0.52178387578609675,0.030934997588776107,0.81862509076800649,1.0,0.072685807069230723,0.028537476001545378,0.0076524980659657422,0.001106779493179352,0.00064512191826470138,0.02338801886283404,0.026308916639173039,0.72620155667395037,0.74210121328302825,0.74032848492826653,0.68113078154611151,0.98454605299479148,0.47083173919014432,0.92463561778326075,0.34099581368774606,0.33760494254662438,0.39210606532854336,0.5128287299653369,0.0014353503629527921,0.15107973944949171,0.17743888321967566,0.85432324120346192,0.99999999999999989,0.70423746930740572,0.79646228571065691,0.99999999999999911,0.230471154920557,0.73731386009111222,0.12249153616887093,0.33198392659195675,0.33630928843707564,0.23810070652976115,0.065567480596448374,1.0,0.23595393622525201,0.40228017059512194,0.33687119200606835,0.001301487661063994,0.78146462426487817,0.12883804256670692,0.42209116173248801,0.047660795488610602,0.097589451582022188,0.17342782426426445
